straightforwardness 1         19
predominant         1         11
precipitous         2         11
precautions         3         11
practically         7         11
practicable         1         11
possibility         4         11
possessions         1         11
plentifully         1         11
plagiarized         1         11
philosopher         1         11
perspicuous         1         11
personality         1         11
persistency         1         11
penetrating         2         11
paraphrases         1         11
paraphrased         1         11
paradoxical         1         11
overwhelmed         1         11
overweening         2         11
overpowered         1         11
overhearing         1         11
outstanding         1         11
outnumbered         1         11
outmaneuver         1         11
originality         1         11
opportunity         10        11
opportunism         2         11
obstinately         2         11
observation         1         11
neutralizes         1         11
nervousness         2         11
neighboring         4         11
necessarily         1         11
necessaries         1         11
misfortunes         1         11
metaphysics         1         11
measurement         3         11
maneuvering         4         11
maintenance         1         11
maintaining         2         11
italicizing         1         11
invitations         1         11
intervening         1         11
intersected         1         11
interpreted         1         11
internecine         1         11
interjacent         1         11
interesting         9         11
intercepted         1         11
instruments         1         11
instruction         2         11
institution         2         11
instituting         1         11
inspiration         1         11
insinuating         1         11
innumerable         1         11
injudicious         1         11
inhabitants         5         11
ingeniously         1         11
infractions         1         11
information         19        11
influencing         1         11
inferiority         1         11
inductively         1         11
individuals         4         11
independent         2         11
inclination         2         11
improvement         2         11
implication         1         11
impedimenta         4         11
immediately         9         11
illustrious         3         11
illustrates         2         11
illuminated         1         11
humiliation         1         11
hostilities         3         11
harmonizing         1         11
grandfather         1         11
graduations         1         11
genuineness         3         11
generations         3         11
generalship         3         11
fundraising         1         11
fundamental         3         11
fulfillment         1         11
friendships         1         11
forethought         2         11
forestalled         1         11
forefathers         1         11
flourishing         1         11
flexibility         1         11
fascination         1         11
fabrication         1         11
extremities         1         11
exterminate         2         11
expressions         1         11
explanatory         1         11
explanation         14        11
experienced         3         11
expenditure         6         11
expeditions         1         11
expectation         1         11
exclamation         1         11
excessively         1         11
examination         1         11
exaggerated         2         11
establishes         3         11
established         1         11
essentially         2         11
erroneously         1         11
equivalents         1         11
equilibrium         1         11
enunciation         1         11
entrenching         1         11
enlightened         4         11
enigmatical         1         11
encouraging         1         11
encountered         1         11
embarrassed         1         11
efficiently         1         11
educational         1         11
downloading         1         11
doubtlessly         1         11
disturbance         1         11
distrustful         1         11
distributed         7         11
distinguish         2         11
distinction         3         11
dissipating         1         11
disposition         4         11
displeasing         1         11
dispatching         1         11
dislocating         1         11
disinclined         1         11
discrepancy         1         11
discredited         1         11
discovering         2         11
discontinue         1         11
discomfited         1         11
disclaimers         1         11
disciplined         4         11
discernible         1         11
disapproved         1         11
disappeared         1         11
directories         1         11
differently         3         11
differences         1         11
detachments         2         11
destructive         1         11
destruction         6         11
destination         1         11
desperation         4         11
desperately         2         11
description         5         11
denominated         1         11
demoralized         1         11
deflections         1         11
definitions         1         11
dangerously         1         11
cultivating         1         11
credibility         1         11
countryside         1         11
corruptions         1         11
corroborate         1         11
corporation         1         11
copyrighted         1         11
cooperation         2         11
controlling         2         11
contrivance         1         11
contributed         2         11
continually         2         11
contentious         5         11
constructed         2         11
constitutes         2         11
conspicuous         2         11
consolidate         1         11
considering         2         11
consequence         4         11
conjunction         2         11
concordance         1         11
concentrate         5         11
conceivable         1         11
concealment         1         11
computation         1         11
compression         1         11
composition         1         11
compliments         1         11
compilation         1         11
comparisons         1         11
compactness         2         11
communicate         1         11
commentator         8         11
commemorate         1         11
comfortably         1         11
combustible         1         11
combination         6         11
circulation         1         11
capitulated         1         11
campaigning         1         11
calculation         6         11
calculating         1         11
breakfasted         1         11
benevolence         5         11
belligerent         1         11
beleaguered         2         11
authorities         1         11
attribution         1         11
astonishing         1         11
assassinate         2         11
arrangement         2         11
appropriate         2         11
approbation         1         11
appointment         3         11
application         2         11
appellation         2         11
appearances         3         11
apophthegms         1         11
antiquarian         1         11
antagonists         1         11
annihilated         2         11
alternative         4         11
alternately         1         11
allurements         1         11
affirmative         1         11
administers         1         11
acquainting         1         11
achievement         1         11
accumulated         2         11
accordingly         2         11
accompanied         3         11
accommodate         1         11
abbreviated         2         11
Vacillation         1         11
Thermopylae         1         11
TEMPORIZING         1         11
Straightway         1         11
Sagittarius         1         11
Replacement         1         11
REPLACEMENT         1         11
Prolegomena         1         11
PRECIPITOUS         1         11
POSSIBILITY         1         11
Mississippi         1         11
Measurement         3         11
Manuscripts         1         11
Maneuvering         1         11
MANEUVERING         1         11
LITTERATEUR         1         11
Information         6         11
Fortunately         2         11
Disciplined         1         11
DISTRIBUTOR         1         11
Considering         3         11
Concentrate         1         11
Concealment         1         11
Chancellors         1         11
Calculation         3         11
Accordingly         5         11
witnessing          1         10
whispering          1         10
whatsoever          3         10
weaknesses          2         10
warranties          1         10
vulnerable          2         10
volunteers          5         10
voluminous          1         10
victorious          4         10
vegetation          3         10
vegetables          1         10
variations          8         10
vanquished          3         10
untalented          1         10
unrecorded          1         10
unprepared          3         10
unorthodox          1         10
unoccupied          1         10
ungrateful          1         10
unexpected          8         10
undismayed          1         10
undeserved          1         10
undertaken          3         10
understood          4         10
understand          9         10
underlying          1         10
undefended          2         10
unavailing          1         10
ultimately          1         10
tyrannical          1         10
triumphant          2         10
translator          1         10
translated          6         10
transcribe          1         10
throughout          3         10
threatened          1         10
thoroughly          10        10
theorizing          1         10
themselves          13        10
tenderness          1         10
synonymous          2         10
suspicious          1         10
suspecting          2         10
surrounded          8         10
surprising          2         10
surpassing          1         10
supporters          1         10
superhuman          1         10
summarized          1         10
suggestive          1         10
suggestion          2         10
sufficient          3         10
suddenness          1         10
succession          1         10
successful          7         10
succeeding          2         10
subsequent          4         10
submissive          2         10
struggling          1         10
structures          1         10
stronghold          1         10
strictness          2         10
strengthen          5         10
strategist          3         10
stratagems          2         10
stealthily          2         10
statements          1         10
standstill          1         10
stagnation          1         10
sprinkling          1         10
sovereigns          3         10
solidarity          1         10
solicitude          1         10
slanderous          1         10
situations          1         10
simplifies          1         10
shamefaced          1         10
separating          1         10
separately          1         10
seasonable          1         10
sandwiched          1         10
salubrious          1         10
sacrifices          1         10
sacrificed          1         10
ruthlessly          1         10
rigorously          1         10
rightfully          1         10
retreating          6         10
responsive          1         10
responding          1         10
respective          1         10
respectful          1         10
resolution          4         10
resistance          5         10
resentment          2         10
reputation          3         10
repression          1         10
represents          2         10
repetition          1         10
rendezvous          1         10
remarkably          2         10
remarkable          6         10
reiterates          1         10
regulation          1         10
regulating          1         10
regularity          1         10
registered          2         10
regimental          1         10
regardless          1         10
references          3         10
recognizes          1         10
recklessly          5         10
rebellious          2         10
rebellions          1         10
reasonable          2         10
quotations          2         10
quantities          1         10
punishment          6         10
provisions          10        10
protracted          3         10
protective          1         10
protection          1         10
prostrated          1         10
proportion          1         10
pronounces          1         10
pronounced          1         10
prominence          1         10
profitable          2         10
profession          4         10
production          5         10
processing          1         10
proceeding          4         10
privileged          1         10
principles          11        10
previously          6         10
preventing          2         10
prevailing          1         10
pretending          3         10
presumably          1         10
presenting          1         10
prescribed          1         10
prejudices          1         10
preferable          1         10
precipices          4         10
precaution          1         10
postulates          3         10
possession          8         10
population          2         10
politeness          1         10
plundering          2         10
pleasantly          1         10
physically          1         10
phenomenon          2         10
perversity          1         10
personages          1         10
perplexing          1         10
permission          8         10
periodical          1         10
performing          3         10
perfection          2         10
perception          4         10
penetrates          1         10
penetrated          3         10
particular          10        10
pardonable          1         10
paraphrase          7         10
paralleled          1         10
paragraphs          5         10
overthrows          2         10
overthrown          3         10
overtaxing          1         10
overlooked          2         10
ostensibly          1         10
originator          1         10
originated          1         10
originally          2         10
opprobrium          1         10
operations          11        10
occurrence          2         10
occupation          1         10
noticeably          1         10
noticeable          1         10
noteworthy          1         10
newsletter          1         10
navigation          1         10
mysterious          1         10
mutilation          1         10
motionless          1         10
misleading          1         10
misfortune          3         10
miscellany          1         10
miraculous          1         10
militarism          2         10
mettlesome          1         10
melancholy          1         10
meditation          1         10
meditating          2         10
mechanical          1         10
marshaling          1         10
maltreated          1         10
maintained          3         10
litigation          1         10
literature          2         10
limitation          4         10
likelihood          2         10
liberating          1         10
liberality          1         10
justifying          1         10
irritation          1         10
irresolute          2         10
investment          2         10
invariably          3         10
invariable          1         10
invaluable          1         10
invalidity          1         10
introduced          1         10
intimidate          1         10
interwoven          1         10
interviews          1         10
intermixed          1         10
interfered          1         10
intentions          4         10
instructed          2         10
inspection          1         10
injunction          1         10
initiative          3         10
inhumanity          2         10
inglorious          1         10
infuriated          1         10
influences          1         10
inflicting          4         10
inferences          2         10
inevitably          1         10
indulgence          1         10
inducement          2         10
individual          7         10
indirectly          1         10
indicating          2         10
indecision          1         10
incredible          3         10
increasing          1         10
incomplete          1         10
inactivity          1         10
inaccurate          1         10
improbable          1         10
impression          3         10
impossible          14        10
importance          10        10
implements          2         10
imperative          1         10
impassable          1         10
immobility          1         10
illustrate          1         10
identified          2         10
husbandmen          1         10
husbanding          1         10
homogenous          1         10
historical          8         10
hesitation          1         10
hereditary          1         10
henceforth          1         10
harvesting          1         10
habitually          1         10
groundwork          1         10
grindstone          1         10
gratefully          1         10
government          6         10
germinated          1         10
generously          1         10
generation          1         10
garrisoned          3         10
furthering          1         10
frightened          2         10
friendship          1         10
frequently          5         10
formidable          1         10
forgetting          2         10
forewarned          1         10
foodstuffs          1         10
flourished          1         10
flattering          1         10
figurative          2         10
felicitous          1         10
faultiness          1         10
factitious          1         10
facilities          1         10
exuberance          1         10
extinction          1         10
expression          3         10
expressing          1         10
exposition          2         10
explicitly          2         10
experiment          1         10
experience          8         10
expedition          5         10
expediency          3         10
exhaustion          2         10
exegetical          1         10
exclaiming          1         10
excellence          6         10
exaltation          1         10
evolutions          4         10
everywhere          2         10
everything          5         10
evaporates          1         10
estimation          2         10
estimating          3         10
essentials          1         10
especially          9         10
equivalent          7         10
enumerates          3         10
enumerated          1         10
entrenched          1         10
enthusiasm          3         10
enterprise          3         10
entangling          2         10
engagement          2         10
encourages          1         10
encircling          1         10
encampment          5         10
employment          1         10
emoluments          1         10
emissaries          1         10
emendation          2         10
elucidates          1         10
electronic          27        10
efficiency          1         10
dominating          1         10
divination          3         10
distribute          5         10
distorting          1         10
distinctly          1         10
dissipated          1         10
dissension          1         10
disruption          1         10
disquieted          1         10
displaying          6         10
dispersive          4         10
dispersion          1         10
dispersing          1         10
dispatched          1         10
dismounted          1         10
discussion          4         10
discussing          2         10
discretion          1         10
discovered          6         10
disclaimer          2         10
discipline          14        10
disastrous          3         10
directions          4         10
diplomatic          1         10
diminished          1         10
difficulty          7         10
difference          4         10
determined          2         10
detachment          5         10
designates          1         10
describing          1         10
descendent          1         10
descendant          3         10
derivative          3         10
demoralize          1         10
delivering          1         10
deliberate          1         10
degenerate          1         10
definitive          1         10
definition          2         10
deficiency          1         10
defections          1         10
deductible          1         10
cultivates          2         10
cultivated          2         10
courageous          1         10
countrymen          2         10
counselors          1         10
corruption          3         10
correspond          1         10
correcting          1         10
conversion          6         10
convenient          1         10
controlled          1         10
continuous          1         10
continuity          1         10
contiguous          1         10
contending          1         10
containing          1         10
consummate          1         10
constructs          1         10
constantly          5         10
consisting          4         10
consistent          1         10
considered          8         10
conquering          6         10
connection          7         10
connecting          1         10
conjecture          2         10
confounded          1         10
confidence          9         10
conducting          2         10
conditions          9         10
condemning          3         10
concubines          5         10
conclusion          2         10
concerning          3         10
conception          1         10
concealing          2         10
comprising          1         10
compressed          2         10
comprehend          1         10
compliance          4         10
completely          5         10
compelling          1         10
comparison          8         10
comparable          1         10
companions          1         10
committing          1         10
commission          2         10
commercial          1         10
commenting          1         10
commentary          21        10
commanding          4         10
commanders          2         10
comforting          1         10
collisions          1         10
collectors          1         10
collection          5         10
collecting          2         10
cleverness          3         10
circulated          1         10
circuitous          2         10
chronology          1         10
chieftains          3         10
chessboard          1         10
charitable          1         10
characters          3         10
ceremonies          2         10
ceremonial          1         10
celebrated          1         10
cantonment          1         10
calculated          5         10
calamities          4         10
boastfully          1         10
bewildered          1         10
belongings          1         10
behindhand          1         10
beforehand          8         10
battalions          3         10
barbarians          5         10
background          2         10
authorized          1         10
attributes          1         10
attributed          4         10
attractive          1         10
attendants          1         10
attempting          4         10
associated          9         10
assistance          3         10
assimilate          1         10
assemblage          1         10
assaulting          2         10
approached          2         10
appreciate          3         10
applicable          5         10
appearance          6         10
apparently          3         10
apocryphal          1         10
anticipate          2         10
antecedent          1         10
antagonist          2         10
annihilate          2         10
ambassador          1         10
altogether          1         10
alteration          1         10
allotments          1         10
allegiance          1         10
aggressive          1         10
afterwards          20        10
advocating          1         10
advantages          12        10
admiration          1         10
addressing          1         10
additional          4         10
adaptation          1         10
acquainted          7         10
accustomed          1         10
accretions          1         10
accordance          3         10
accomplish          1         10
accidental          1         10
accessible          2         10
acceptance          2         10
absolutely          3         10
abnormally          1         10
Wellington          5         10
WARRANTIES          2         10
Volunteers          1         10
Variations          2         10
Translator          1         10
Translated          1         10
Thucydides          1         10
Situations          5         10
SITUATIONS          1         10
Questioned          1         10
Quantities          1         10
Provisions          1         10
Napoleonic          1         10
NEGLIGENCE          1         10
Management          1         10
Literature          1         10
Invincible          1         10
INCIDENTAL          1         10
Government          5         10
Foundation          24        10
FOUNDATION          1         10
Estimation          3         10
Especially          1         10
ENTANGLING          1         10
Dispersive          1         10
Dictionary          1         10
Department          2         10
DISTRIBUTE          1         10
DISCLAIMER          1         10
DISCIPLINE          1         10
Compliance          1         10
Commentary          3         10
Calamities          1         10
Attributed          4         10
Apparently          1         10
Advantages          1         10
Additional          1         10
Accustomed          1         10
Accessible          1         10
ACCESSIBLE          1         10
wondering           1         9
witnessed           1         9
withstand           1         9
willfully           2         9
wholesome           1         9
wholesale           2         9
whereupon           7         9
westwards           1         9
wearisome           1         9
volunteer           1         9
virtually           1         9
violation           1         9
violating           1         9
vigilance           1         9
victories           6         9
venturing           3         9
venerated           2         9
vegetable           1         9
varieties           5         9
variation           1         9
valueless           1         9
valuables           3         9
uttermost           1         9
utterance           1         9
utilizing           1         9
upheavals           1         9
unwilling           1         9
untenable           1         9
universal           1         9
unhealthy           1         9
unhappily           1         9
unguarded           1         9
underwent           1         9
undertook           1         9
underhand           1         9
undergone           1         9
undecided           2         9
uncertain           3         9
turncoats           1         9
troublous           1         9
troubling           2         9
trembling           1         9
treatment           5         9
treatises           4         9
treachery           4         9
traversed           1         9
transport           1         9
translate           3         9
tradition           2         9
trademark           10        9
traceable           1         9
tottering           1         9
tolerated           1         9
thousands           3         9
thereupon           1         9
therefore           17        9
tethering           1         9
testimony           2         9
territory           17        9
terrified           2         9
tendering           1         9
temporary           1         9
technique           1         9
tardiness           2         9
tactician           2         9
sustained           1         9
surviving           3         9
surveying           1         9
surrender           4         9
supported           1         9
summarily           1         9
suggested           5         9
suffering           3         9
successor           1         9
succeeded           9         9
substance           3         9
subscribe           1         9
submitted           1         9
submerged           1         9
stupidity           1         9
stringent           1         9
strictest           1         9
strenuous           2         9
stratagem           9         9
strangely           1         9
statesmen           1         9
statesman           2         9
statement           4         9
startling           1         9
standards           1         9
squeezing           2         9
spectacle           2         9
specifies           1         9
specified           2         9
specially           2         9
sovereign           17        9
sometimes           3         9
something           13        9
slightest           2         9
slaughter           1         9
skeptical           1         9
situation           10        9
sinologue           1         9
sincerity           5         9
simulates           1         9
simulated           3         9
similarly           1         9
signifies           1         9
shoulders           1         9
shortness           1         9
sheltered           1         9
sharpened           1         9
shameless           1         9
seriously           4         9
separated           2         9
sentiment           2         9
sentences           3         9
sensitive           1         9
selection           1         9
seemingly           1         9
scorpions           1         9
scholarly           2         9
scattered           3         9
satisfied           2         9
sandstorm           1         9
sacrifice           3         9
royalties           2         9
reverence           1         9
returning           5         9
returneth           1         9
retreated           1         9
retaining           2         9
retainers           1         9
restoring           1         9
respected           2         9
resources           6         9
resisting           1         9
repudiate           1         9
reproduce           1         9
represent           1         9
repelling           1         9
repeating           1         9
rendering           3         9
remarking           1         9
remaining           6         9
remainder           1         9
releasing           2         9
relations           2         9
rejecting           1         9
reinforce           1         9
regulated           3         9
regiments           2         9
regarding           1         9
refrained           2         9
reflected           1         9
referring           1         9
reference           6         9
recommend           1         9
reckoning           2         9
recension           1         9
receiving           3         9
recapture           1         9
rebellion           3         9
reasoning           4         9
readiness           3         9
quotation           3         9
questions           2         9
quartered           1         9
qualities           2         9
qualified           1         9
quagmires           1         9
purposely           1         9
published           9         9
proximity           1         9
provision           1         9
provinces           1         9
providing           4         9
provender           1         9
protested           1         9
proposals           1         9
propelled           1         9
proofread           1         9
promotion           1         9
